Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.018041,-3.0664E-06,0.1542,0,0,0,15.15,0.3104,-8.4181E-07,-1.173E-07,0.5261,-2.9373E-06,0.7498,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/base_link.STL,,Body-1;Cover1_F-1;Cover1_F-4;Cover1_F-10;Cover1_F-7,0_0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Front_Left_Hip,3.0188E-05,0.0046117,0.045906,0,0,0,5.55,0.01586,-2.3899E-06,9.7549E-07,0.02045,-5.0146E-06,0.01987,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Front_Left_Hip.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Front_Left_Hip.STL,,Cover2_F-7;Arm_Connector_F_3-3;Cover1_F-8;Cap_F-5,1_0,Axis_Joint_1_03,Joint_1_0,revolute,0.37861,0.28195,0.15421,0,1.5708,0,base_link,0,0,1,408,3.27,-0.45,0.45,,,,,,,,
Front_Left_Thigh,-1.1102E-16,0.228,-0.031844,0,0,0,5.5,0.01587,-1.5776E-09,1.5572E-18,0.01483,3.4061E-18,0.02377,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Front_Left_Thigh.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Front_Left_Thigh.STL,,Cover2_F-8;Arm_Connector_F-7;Arm_2-3;Arm_Connector_F-8;Cover2_F-9,1_1,Axis_Joint_1_13,Joint_1_1,revolute,0,0.122,0.109,1.5708,-1.5708,0,Front_Left_Hip,0,0,1,408,3.27,-1.2,1.2,,,,,,,,
Front_Left_Calf,2.895E-06,0.021826,0.034587,0,0,0,3.11,0.009868,-1.0337E-07,-3.5741E-07,0.00872,3.6081E-06,0.014035,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Front_Left_Calf.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Front_Left_Calf.STL,,Cap_F-6;Cover1_F-9;Arm_Connector_F-9;Arm_1-3,1_2,Axis_Joint_1_23,Joint_1_2,revolute,0,0.456,-0.149,0,0,0,Front_Left_Thigh,0,0,1,408,3.27,0,1.5,,,,,,,,
Front_Left_Foot,5.5511E-17,0,0.0252,0,0,0,0.09,3.6266E-05,-5.626E-22,3.5174E-20,3.6266E-05,4.5141E-21,5.6492E-05,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Front_Left_Foot.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Front_Left_Foot.STL,,Feet-3,1_3,Axis_Joint_1_33,Joint_1_3,fixed,0,0.358,0.027,-1.5708,0,0,Front_Left_Calf,0,0,0,,,,,,,,,,,,
Front_Right_Hip,2.6625E-05,-0.0047247,0.045906,0,0,0,5.55,0.01586,-2.3899E-06,7.6919E-07,0.02045,2.2016E-06,0.01987,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Front_Right_Hip.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Front_Right_Hip.STL,,Cover2_F-10;Arm_Connector_F_3-4;Cap_F-7;Cover1_F-11,2_0,Axis_Joint_2_03,Joint_2_0,revolute,0.37861,-0.28195,0.15421,0,1.5708,0,base_link,0,0,1,408,3.27,-0.45,0.45,,,,,,,,
Front_Right_Thigh,1.1102E-16,-0.228,-0.031844,0,0,0,5.5,0.01587,-1.5776E-09,-3.0209E-18,0.01483,2.2418E-18,0.02377,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Front_Right_Thigh.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Front_Right_Thigh.STL,,Cover2_F-11;Arm_Connector_F-10;Arm_2-4;Arm_Connector_F-11;Cover2_F-12,2_1,Axis_Joint_2_13,Joint_2_1,revolute,0,-0.122,0.109,1.5708,-1.5708,0,Front_Right_Hip,0,0,1,408,3.27,-1.2,1.2,,,,,,,,
Front_Right_Calf,-2.895E-06,-0.021826,0.034587,0,0,0,3.11,0.009868,-1.0337E-07,3.5741E-07,0.00872,-3.6081E-06,0.014035,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Front_Right_Calf.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Front_Right_Calf.STL,,Cover1_F-12;Cap_F-8;Arm_Connector_F-12;Arm_1-4,2_2,Axis_Joint_2_23,Joint_2_2,revolute,0,-0.456,-0.149,0,0,0,Front_Right_Thigh,0,0,1,408,3.27,0,1.5,,,,,,,,
Front_Right_Foot,5.5511E-17,0,0.0252,0,0,0,0.09,3.6266E-05,-2.6567E-21,2.2051E-20,3.6266E-05,-5.6299E-21,5.6492E-05,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Front_Right_Foot.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Front_Right_Foot.STL,,Feet-4,2_3,Axis_Joint_2_33,Joint_2_3,fixed,0,-0.358,0.027,1.5708,0,0,Front_Right_Calf,0,0,1,,,,,,,,,,,,
Back_Left_Hip,3.9932E-06,-0.0047312,0.045906,0,0,0,5.55,0.01586,-7.0884E-07,1.9502E-07,0.02045,1.9796E-06,0.01987,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Back_Left_Hip.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Back_Left_Hip.STL,,Cover2_F-1;Arm_Connector_F_3-1;Cap_F-1;Cover1_F-2,4_0,Axis_Joint_4_03,Joint_4_0,revolute,-0.38539,0.28195,0.15421,3.1416,1.5708,0,base_link,0,0,1,408,3.27,-0.45,0.45,,,,,,,,
Back_Left_Thigh,-5.5511E-17,0.228,-0.031844,0,0,0,5.5,0.01587,-1.5776E-09,-5.8466E-18,0.01483,2.3922E-18,0.02377,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Back_Left_Thigh.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Back_Left_Thigh.STL,,Cover2_F-2;Arm_Connector_F-1;Arm_2-1;Arm_Connector_F-2;Cover2_F-3,4_1,Axis_Joint_4_13,Joint_4_1,revolute,0,-0.122,0.109,1.5708,1.5708,0,Back_Left_Hip,0,0,1,408,3.27,-1.2,1.2,,,,,,,,
Back_Left_Calf,2.8412E-06,0.021826,0.034587,0,0,0,3.11,0.009868,-1.0147E-07,-3.5741E-07,0.00872,3.6079E-06,0.014035,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Back_Left_Calf.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Back_Left_Calf.STL,,Cover1_F-3;Cap_F-2;Arm_Connector_F-3;Arm_1-1,4_2,Axis_Joint_4_23,Joint_4_2,revolute,0,0.456,-0.149,0,0,0,Back_Left_Thigh,0,0,1,408,3.27,0,1.5,,,,,,,,
Back_Left_Foot,1.1102E-16,5.5511E-17,0.0252,0,0,0,0.09,3.6266E-05,-1.6201E-21,1.5997E-20,3.6266E-05,1.0357E-20,5.6492E-05,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Back_Left_Foot.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Back_Left_Foot.STL,,Feet-1,4_3,Axis_Joint_4_33,Joint_4_3,fixed,0,0.358,0.027,-1.5708,0,0,Back_Left_Calf,0,0,0,,,,,,,,,,,,
Back_Right_Hip,-4.3878E-05,0.0046245,0.045906,0,0,0,5.55,0.01587,2.2606E-06,-9.8477E-07,0.02044,-4.8554E-06,0.01987,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Back_Right_Hip.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Back_Right_Hip.STL,,Cover2_F-4;Arm_Connector_F_3-2;Cap_F-3;Cover1_F-5,3_0,Axis_Joint_3_03,Joint_3_0,revolute,-0.38539,-0.28195,0.15421,3.1416,1.5708,0,base_link,0,0,1,408,3.27,-0.45,0.45,,,,,,,,
Back_Right_Thigh,3.4138E-08,-0.228,-0.031844,0,0,0,5.5,0.01587,-3.483E-09,-9.7919E-19,0.01483,1.8796E-10,0.02377,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Back_Right_Thigh.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Back_Right_Thigh.STL,,Cover2_F-5;Arm_Connector_F-4;Arm_2-2;Arm_Connector_F-5;Cover2_F-6,3_1,Axis_Joint_3_13,Joint_3_1,revolute,0,0.122,0.109,1.5708,1.5708,0,Back_Right_Hip,0,0,1,408,3.27,-1.2,1.2,,,,,,,,
Back_Right_Calf,-2.8412E-06,-0.021826,0.034587,0,0,0,3.11,0.009868,-1.0147E-07,3.5741E-07,0.00872,-3.6079E-06,0.014035,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Back_Right_Calf.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Back_Right_Calf.STL,,Cover1_F-6;Cap_F-4;Arm_Connector_F-6;Arm_1-2,3_2,Axis_Joint_3_23,Joint_3_2,revolute,0,-0.456,-0.149,0,0,0,Back_Right_Thigh,0,0,1,408,3.27,0,1.5,,,,,,,,
Back_Right_Foot,0,0,0.0252,0,0,0,0.09,3.6266E-05,-5.9073E-21,3.4181E-20,3.6266E-05,2.4762E-21,5.6492E-05,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Back_Right_Foot.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Dog1.SLDASM/meshes/Back_Right_Foot.STL,,Feet-2,3_3,Axis_Joint_3_33,Joint_3_3,fixed,0,-0.358,0.027,1.5708,0,0,Back_Right_Calf,0,0,0,,,,,,,,,,,,
